id,timestamp,amount,customer_id,transaction_city
1,1654300800000,2001,330,Pampas
2,1654300800000,2131,446,Fengcun
3,1654300800000,6500,474,Shen’ao
4,1654300800000,7939,737,Donskoy
5,1654300800000,6047,70,Plataran
6,1654300800000,3388,651,Bolilao
7,1654300800000,1782,573,Batiano
8,1654300800000,9790,767,Kengkou
9,1654300800000,4216,502,
10,1654300800000,1028,204,Naples
11,1654300800000,8028,768,Longmen
12,1654300800000,4844,907,Padangcermin
13,1654300800000,8909,666,Criciúma
14,1654300800000,1902,666,Enewetak
15,1654300800000,1602,741,
16,1654300800000,9713,154,Ube
17,1654300800000,9244,980,Kukulu
18,1654300800000,4084,735,Kunwi
19,1654300800000,1703,80,Matai
20,1654300800000,4037,288,Asempapak
21,1654300800000,6388,856,Vaiamonte
22,1654300800000,5668,294,
23,1654300800000,3829,874,Hostos
24,1654300800000,9073,871,Zābolī
25,1654300800000,6919,723,Pengchang
26,1654300800000,5070,736,Tarlac City
27,1654300800000,6617,556,Tietê
28,1654300800000,3534,679,Fornos
29,1654300800000,1670,53,Boluo
30,1654300800000,7165,302,Jingtailu
31,1654300800000,9401,953,Ferreira do Alentejo
32,1654300800000,2464,744,Tuti
33,1654300800000,7537,281,San Juan de Limay
34,1654300800000,5123,578,Subulussalam
35,1654300800000,3280,696,
36,1654300800000,9933,98,Krasnyy Gulyay
37,1654300800000,9269,393,
38,1654300800000,5808,178,
39,1654300800000,2880,469,Lianran
40,1654300800000,8534,922,Željezno Polje
41,1654300800000,8178,690,Fenyan
42,1654300800000,1077,702,
43,1654300800000,1380,966,Kolor
44,1654300800000,2643,563,Tiflet
45,1654300800000,3232,937,Laoqiao
46,1654300800000,8387,522,Utara
47,1654300800000,5927,618,Nossa Senhora de Machede
48,1654300800000,9470,229,El Escanito
49,1654300800000,4454,73,Huoche Xizhan
50,1654300800000,5876,295,
51,1654300800000,7844,621,Perfilovo
52,1654300800000,6111,854,Makur
53,1654300800000,2739,408,Bác Ái
54,1654300800000,2346,711,Vallegrande
55,1654300800000,2684,775,Zhongjiapu
56,1654300800000,6265,245,Shangmofang
57,1654300800000,5333,317,Puerto Maldonado
58,1654300800000,3728,36,Jeziora Wielkie
59,1654300800000,7086,300,Mizusawa
60,1654300800000,8135,479,
61,1654300800000,4459,31,Rawuk
62,1654300800000,8232,3,Šipovo
63,1654300800000,8937,378,Siding
64,1654300800000,2619,276,Qumudi
65,1654300800000,1712,880,Blawi
66,1654300800000,8269,137,San Pedro Sacatepéquez
67,1654300800000,7563,815,Oibioin
68,1654300800000,5985,850,Besançon
69,1654300800000,9486,591,
70,1654300800000,1066,313,Xinzhai
71,1654300800000,3884,218,
72,1654300800000,6421,308,Vilppula
73,1654300800000,4701,881,Panamá
74,1654300800000,9863,101,Kholm
75,1654300800000,5094,607,Montongtebolak
76,1654300800000,9983,41,Loyew
77,1654300800000,5393,169,Zhendong
78,1654300800000,6955,292,Inkerman
79,1654300800000,3935,8,
80,1654300800000,2064,279,Wujian
81,1654300800000,3261,676,Gongpo
82,1654300800000,6297,313,Riangkroko
83,1654300800000,2971,981,Pinhão
84,1654300800000,4121,338,Baganhilir
85,1654300800000,3348,461,Fontainebleau
86,1654300800000,6474,381,
87,1654300800000,2334,605,
88,1654300800000,4757,254,
89,1654300800000,7447,923,Xin’an
90,1654300800000,5141,333,Cintawana
91,1654300800000,2850,911,
92,1654300800000,6588,93,Debre Tabor
93,1654300800000,6101,702,Tangwang
94,1654300800000,7862,971,Junxi
